description,category
NEFT received - Rs 299,finance
Cafe Coffee Day - pizza for dinner paid for - Rs 299,food
new bedsheet purchase from Home Centre,home
membership renewal Netflix,subscription
bank transfer to friend,finance
bought T-shirt from Zara bought for home use,shopping
game purchase on PVR got it during sale,entertainment
kitchen utensils from Ikea,home
HP Petrolpump - engine oil change at HP Petrolpump,auto
H&M online - summer dress,shopping
bonus credited purchased from nearby store,salary
face wash and moisturizer from Local Pharmacy got it during sale - Rs 249,personal_care
Local Pharmacy - anti ageing serum purchase,personal_care
NEFT - wallet topup NEFT,finance
bought T,shopping
college canteen maggi - credit card repayment bought because needed,bills
Electricity Board - mobile postpaid bill Electricity Board,utilities
wallet topup PhonePe,finance
internet recharge via Water Supply,utilities
bank transfer to friend - Rs 199,finance
YouTube Premium annual plan,subscription
bus ticket to city paid for - Rs 299,travel
freelance payment client xyz purchased from nearby store,salary
pharmacy,health
train booking via IRCTC,travel
credit card repayment,bills
bus ticket to city,travel
"Big Bazaar - milk, eggs, vegetables",groceries
Samsung Shop purchase - bluetooth headphone,electronics
house rent for september,rent
water bill payment - Rs 50,utilities
pharmacy - antibiotics bought for home use - Rs 999,health
Play Store movie ticket ordered online,entertainment
TataCliq - USB-C cable ordered online,electronics
bought T,shopping
bike service at Shell Fuel,auto
PVR - ott subscription rental,entertainment
mobile postpaid bill BSNL,utilities
Cafe Coffee Day - dinner at Cafe Coffee Day with friends,food
Amazon,electronics
bike service at Shell Fuel,auto
concert ticket booking,entertainment
anti ageing serum purchase,personal_care
NEFT received - Rs 1200,finance
NEFT received,finance
upi payment paid for,finance
Reliance Digital,electronics
City Hospital - paracetamol and vitamins purchased from nearby store,health
Steam movie ticket,entertainment
Uber ride to airport paid for,travel
Stationery Shop,education
college fee payment,education
PVR - PVR movie ticket,entertainment
McDonald's order,food
Spotify annual plan,subscription
new backpack from H&M bought because needed,shopping
IRCTC ride to airport paid for,travel
loan EMI deduction bought because needed,bills
internet recharge via Jio,utilities
bus ticket to city - Rs 150,travel
face wash and moisturizer from Beauty Store - Rs 999,personal_care
bought flowers from Flower Store,gifts
Udemy - exam form fee,education
ott subscription rental,entertainment
upi payment,finance
stationery purchase at College Fee,education
college canteen maggi - Play Store movie ticket,entertainment
late fee payment got it during sale,bills
IRCTC - IRCTC ride to airport,travel
bought flowers from Godrej Gift - Rs 249,gifts
late fee payment - Rs 1200,bills
college fee payment,education
Landlord Rent - security deposit for rent,rent
Samsung Shop - tempered glass screen protector,electronics
kitchen utensils from Home Centre,home
perfume Local Pharmacy,personal_care
exam form fee,education
anti ageing serum purchase,personal_care
water bill payment,utilities
Zomato - pizza for dinner got it during sale - Rs 100,food
Local Pharmacy - sunscreen spf 50 ordered online,personal_care
exam form fee,education
game purchase on Play Store got it during sale,entertainment
Dominos - pizza for dinner purchased from nearby store,food
Shell Fuel - engine oil change at Shell Fuel,auto
pharmacy - antibiotics,health
maintenance charges for flat,bills
Play Store movie ticket bought for home use,entertainment
doctor consult - fever,health
college fee payment purchased from nearby store,education
Upwork Payout - bonus credited,salary
ordered power bank from TataCliq - Rs 50,electronics
got cashback from paytm - gift box chocolates bought for home use,gifts
college fee payment bought because needed,education
Bikeman Garage - petrol full tank ordered online,auto
doctor consult,health
Local Home Store - floor cleaner and mop ordered online,home
concert ticket booking bought for home use - Rs 1200,entertainment
monthly groceries from Local Kirana,groceries
college fee payment,education
invoice paid,salary
lab test at Practo,health
wallet topup PhonePe - Rs 199,finance
game purchase on Play Store,entertainment
late fee payment,bills
NEFT received,finance
NEFT received,finance
got cashback from paytm - monthly groceries from Local Kirana,groceries
late fee payment,bills
bus ticket to city ordered online,travel
Local Home Store - kitchen utensils from Local Home Store - Rs 50,home
PhonePe - NEFT received,finance
Local Pharmacy,personal_care
bank transfer to friend,finance
Upwork Payout - freelance payment client xyz,salary
Maintenance - maintenance charges for flat,bills
credit card repayment,bills
bonus credited,salary
doctor consult - fever - Rs 100,health
Apollo Pharmacy - paracetamol and vitamins bought because needed,health
Local Kirana - monthly groceries from Local Kirana,groceries
Big Bazaar,groceries
paid bhaiya for delivery - breakfast - paratha and chai bought because needed - Rs 150,food
Croma - USB-C cable,electronics
membership renewal YouTube Premium,subscription
pharmacy - antibiotics bought for home use - Rs 999,health
fruits and veg purchase at Grofers,groceries
bus ticket to city bought for home use,travel
anti ageing serum purchase,personal_care
bought flowers from Gift Shop,gifts
got cashback from paytm - bus ticket to city,travel
refund from amazon - anti ageing serum purchase purchased from nearby store,personal_care
ordere power bank from Amazon - Rs 299,electronics
recharge jio - pharmacy - antibiotics bought because needed - Rs 1200,health
home decor items,home
recharge jio - renewed subscription - Amazon Prime,subscription
Local Mall - sneakers purchase paid for,shopping
Flower Store - bought flowers from Flower Store,gifts
ott subscription rental purchased from nearby store,entertainment
Flower Store - anniversary gift shopping,gifts
late fee payment ordered online,bills
Local Home Store - floor cleaner and mop purchased from nearby store,home
new bedsheet purchase from Home Centre,home
ott subscription rental,entertainment
Coursera,education
anniversary gift shopping bought because needed,gifts
perfume Sephora,personal_care
internet recharge via Water Supply,utilities
got cashback from paytm - freelance payment client xyz,salary
anniversary gift shopping purchased from nearby store - Rs 1200,gifts
breakfast - paratha and chai ordered online,food
game purchase on BookMyShow,entertainment
home decor items bought because needed,home
Apollo Pharmacy - paracetamol and vitamins bought because needed,health
doctor consult - fever ordered online - Rs 199,health
security deposit for rent - Rs 299,rent
maintenance charges for flat,bills
YouTube Premium annual plan,subscription
monthly groceries from Reliance Fresh,groceries
City Hospital - Rs 199,health
ott subscription rental,entertainment
Practo - paracetamol and vitamins,health
BookMyShow - BookMyShow movie ticket,entertainment
maintenance charges for flat got it during sale,bills
took ola share - membership renewal Amazon Prime - Rs 150,subscription
Local Mall onlie - summer dress - Rs 249,shopping
paid bhaiya for delivery - gift box chocolates purchased from nearby store,gifts
doctor consult - fever paid for,health
Nykaa,personal_care
late fee payment,bills
bank transfer to friend,finance
Flipkart - tempered glass screen protector,electronics
Ikea - floor cleaner and mop,home
Practo - paracetamol and vitamins purchased from nearby store,health
College Fee - college fee payment - Rs 999,education
doctor consult,health
anniversary gift shopping purchased from nearby store,gifts
lab test at Healthcare Clinic,health
face wash and moisturizer from Beauty Store,personal_care
kitchen utensils from Home Centre,home
internet recharge via Electricity Board - Rs 50,utilities
anniversary gift shopping bought because needed - Rs 50,gifts
TataCliq,electronics
new backpack from H&M,shopping
bought T-shirt from Myntra,shopping
engine oil change at Bikeman Garage paid for,auto
Local Kirana - monthly groceries from Local Kirana,groceries
Play Store - concert ticket booking,entertainment
Ikea - floor cleaner and mop bought because needed,home
maintenance charges for flat,bills
ordered power bank from Samsung Shop,electronics
Udemy - python course,education
gave tip to bhaiya - water bill payment,utilities
internet recharge via Electricity Board - Rs 999,utilities
loan EMI deduction,bills
BSNL electricity bill bought because needed,utilities
Flower Store - birthday gift for friend,gifts
bike service at Shell Fuel paid for,auto
engine oil change at Bikeman Garage,auto
flight ticket to delhi ordered online,travel
Big Bazaar - fruits and veg purchase at Big Bazaar - Rs 199,groceries
home decor items,home
bank transfer to friend paid for,finance
Jio electricity bill,utilities
ordered power bank from Amazon,electronics
NEFT received bought for home use - Rs 499,finance
car wash and cleaning,auto
Samsung Shop purchase - bluetooth headphone,electronics
Netflix monthly subscription ordered online,subscription
college fee payment bought for home use,education
credit card repayment paid for,bills
renewed subscription,subscription
late fee payment,bills
train booking via IRCTC got it during sale,travel
kitchen utensils from Ikea,home
BookMyShow movie ticket,entertainment
DMart,groceries
dinner at Cafe Coffee Day with friends,food
mobile postpaid bill Jio,utilities
bike service at Shell Fuel,auto
bank transfer to friend,finance
Dominos - late night snack from Dominos,food
emi deducted - kitchen utensils from Local Home Store,home
renewed subscription,subscription
perfume Sephora,personal_care
bread,groceries
bought T,shopping
"Nature's Basket - bread, butter, cereal from Nature's Basket",groceries
Cafe Coffee Day - dinner at Cafe Coffee Day with friends - Rs 50,food
kitchen utensils from Home Centre,home
gave tip to bhaiya - late night snack from Food Stall got it during sale,food
H&M - new backpack from H&M,shopping
monthly groceries from DMart,groceries
bought flowers from Flower Store,gifts
gift box chocolates,gifts
NEFT received paid for,finance
Udemy - stationery purchase at Udemy,education
membership renewal Spotify,subscription
maintenance charges for flat,bills
emi deducted - BSNL electricity bill purchased from nearby store,utilities
bread,groceries
maintenance charges for flat,bills
gift box chocolates,gifts
Zara - sneakers purchase,shopping
Zara - sneakers purchase,shopping
new bedsheet purchase from Local Home Store,home
refund from amazon - maintenance charges for flat,bills
college fee payment got it during sale,education
Play Store - ott subscription rental,entertainment
anniversary gift shopping,gifts
took ola share - Zara online,shopping
Loan EMI - late fee payment,bills
Amazon Prime - Amazon Prime monthly subscription,subscription
mobile postpaid bill BSNL ordered online - Rs 299,utilities
YouTube Premium monthly subscription,subscription
Flipkart purchase - bluetooth headphone - Rs 249,electronics
breakfast - paratha and chai got it during sale,food
TataCliq - tempered glass screen protector,electronics
doctor consult - Rs 499,health
Croma purchase,electronics
breakfast - paratha and chai,food
Stationery Shop - college fee payment,education
fruits and veg purchase at DMart bought for home use,groceries
face wash and moisturizer from Local Pharmacy,personal_care
Ikea - floor cleaner and mop,home
Ajio online - summer dress bought for home use - Rs 249,shopping
engine oil change at HP Petrolpump,auto
kitchen utensils from Local Home Store - Rs 1200,home
late night snack from Cafe Coffee Day got it during sale,food
McDonald's - dinner at McDonald's with friends,food
Gift Shop - gift box chocolates,gifts
train booking via IRCTC,travel
Coursera - exam form fee,education
train booking via IRCTC,travel
perfume Beauty Store,personal_care
upi payment ordered online,finance
upi payment,finance
apartment rent monthly,rent
engine oil change at Shell Fuel,auto
bus ticket to city,travel
maintenance charges for flat,bills
water bill payment,utilities
Reliance Digital - ordered power bank from Reliance Digital,electronics
stationery purchase at College Fee,education
Local Mall online - summer dress,shopping
Jio electricity bill bought because needed,utilities
NEFT received purchased from nearby store,finance
Reliance Digital,electronics
engine oil change at Shell Fuel,auto
late fee payment,bills
ott subscription rental bought because needed,entertainment
wallet topup Bank Transfer,finance
loan EMI deduction bought because needed,bills
Swiggy,food
kitchen utensils from Local Home Store,home
loan EMI deduction,bills
bought T-shirt from Lifestyle,shopping
Electricity Board electricity bill paid for,utilities
bus ticket to city,travel
Flipkart,electronics
Croma - USB-C cable,electronics
monthly groceries from Big Bazaar - Rs 249,groceries
flight ticket to delhi,travel
Local Kirana - fruits and veg purchase at Local Kirana,groceries
Maintenance - loan EMI deduction,bills
ott subscription rental,entertainment
took ola share - mobile postpaid bill Jio bought for home use - Rs 299,utilities
flight ticket to delhi,travel
Local Home Store - floor cleaner and mop purchased from nearby store,home
Pizza Hut - late night snack from Pizza Hut,food
Water Supply electricity bill,utilities
bank transfer to friend ordered online,finance
doctor consult - fever paid for - Rs 999,health
water bill payment bought because needed,utilities
face wash and moisturizer from Nykaa,personal_care
college canteen maggi - Flipkart - tempered glass screen protector,electronics
Amazon purchase,electronics
Electricity Board electricity bill ordered online,utilities
anti ageing serum purchase,personal_care
bike service at Shell Fuel,auto
recharge jio - renewed subscription,subscription
doctor consult,health
birthday gift for friend got it during sale,gifts
train booking via IRCTC,travel
Beauty Store - sunscreen spf 50 purchased from nearby store,personal_care
train booking via IRCTC,travel
Amazon Prime annual plan,subscription
face wash and moisturizer from Sephora paid for,personal_care
perfume Nykaa,personal_care
anniversary gift shopping,gifts
Cafe Coffee Day - dinner at Cafe Coffee Day with friends,food
Ola ride to airport,travel
NEFT received paid for,finance
Lifestyle online - summer dress,shopping
parfum beauty store,personal_care
bank transfer to friend,finance
late fee payment,bills
stationery purchase at Coursera,education
renewed subscription,subscription
MedPlus - paracetamol and vitamins paid for,health
car wash and cleaning,auto
got cashback from paytm - BSNL - mobile postpaid bill BSNL - Rs 150,utilities
train booking via IRCTC,travel
concert ticket booking,entertainment
bike service at Bikeman Garage purchased from nearby store,auto
face wash and moisturizer from Beauty Store got it during sale,personal_care
ott subscription rental bought for home use,entertainment
Flipkart,electronics
train booking via IRCTC,travel
maintenance charges for flat,bills
Dominos order - burger and fries,food
Bikeman Garage - engine oil change at Bikeman Garage,auto
Samsung Shop,electronics
maintenance charges for flat bought for home use,bills
bought flowers from Gift Shop paid for - Rs 299,gifts
breakfast - paratha and chai,food
took ola share - Shell Fuel - petrol full tank,auto
ott subscription rental paid for,entertainment
invoice paid - Upwork,salary
gift box chocolates ordered online,gifts
train booking via IRCTC,travel
engine oil change at HP Petrolpump,auto
engine oil change at HP Petrolpump ordered online - Rs 150,auto
got cashback from paytm - kitchen utensils from Ikea bought because needed - Rs 499,home
salary credited - ACME Corp paid for,salary
breakfast - paratha and chai,food
Bank Transfer - wallet topup Bank Transfer,finance
Uber ride to airport,travel
kitchen utensils from Ikea bought because needed,home
Local Mall online - summer dress purchased from nearby store - Rs 499,shopping
monthly groceries from Spencer's,groceries
"bread, butter, cereal from Reliance Fresh purchased from nearby store",groceries
fruits and veg purchase at Reliance Fresh,groceries
Godrej Gift - anniversary gift shopping,gifts
anti ageing serum purchase,personal_care
"bread, butter, cereal from Grofers ordered online",groceries
stationery purchase at Udemy,education
bus ticket to city,travel
Water Supply electricity bill,utilities
home decor items,home
game purchase on PVR,entertainment
HP Petrolpump - car wash and cleaning,auto
renewed subscription,subscription
anti ageing serum purchase bought for home use,personal_care
TataCliq - tempered glass screen protector purchased from nearby store,electronics
Landlord Rent - apartment rent monthly,rent
House Rent - rent payment to landlord,rent
wallet topup NEFT,finance
upi payment paid for,finance
house rent for september got it during sale,rent
parfum sephora,personal_care
upi payment purchased from nearby store - Rs 999,finance
Amazon Prime annual plan bought for home use,subscription
YouTube Premium - YouTube Premium monthly subscription,subscription
Landlord Rent - apartment rent monthly,rent
Local Home Store - home decor items - Rs 499,home
gift box chocolates,gifts
college fee payment,education
Samsung Shop - USB-C cable paid for,electronics
bike service at HP Petrolpump,auto
stationery purchase at Coursera bought for home use,education
Spotify monthly subscription - Rs 199,subscription
anti ageing serum purchase purchased from nearby store,personal_care
Uber - train booking via IRCTC,travel
Sephora - sunscreen spf 50 bought for home use,personal_care
recharge jio - Amazon - ordered power bank from Amazon,electronics
lab test at Healthcare Clinic,health
fruits and veg purchase at Local Kirana,groceries
Credit Card Payment - maintenance charges for flat,bills
new bedsheet purchase from Home Centre,home
Reliance Digital - Rs 50,electronics
Sephora,personal_care
mumma grocery - bus ticket to city,travel
Mi Store - ordered power bank from Mi Store,electronics
Myntra - sneakers purchase,shopping
Udemy - python course,education
security deposit for rent,rent
House Rent - rent payment to landlord - Rs 199,rent
Udemy - college fee payment,education
lab test at Practo,health
IndiGo ride to airport got it during sale - Rs 499,travel
kitchen utensils from Home Centre,home
college fee payment purchased from nearby store,education
BookMyShow movie ticket ordered online,entertainment
bread,groceries
paid bhaiya for delivery - membership renewal Spotify,subscription
College Fee,education
recharge jio - water bill payment purchased from nearby store - Rs 50,utilities
anti ageing serum purchase,personal_care
bought flowers from Flower Store,gifts
ordered power bank from Mi Store bought for home use,electronics
new bedsheet purchase from Ikea,home
new backpack from Local Mall,shopping
bike service at Car Service Center ordered online,auto
credit card repayment - Rs 199,bills
birthday gift for friend purchased from nearby store,gifts
renewed subscription - Amazon Prime,subscription
new bedsheet purchase from Ikea purchased from nearby store,home
gave tip to bhaiya - Spotify annual plan,subscription
Uber ride to airport - Rs 199,travel
pharmacy,health
Spotify annual plan,subscription
flight ticket to delhi bought for home use,travel
Steam - game purchase on Steam,entertainment
internet recharge via Water Supply purchased from nearby store,utilities
renewed subscription,subscription
bhai petrol bharwaya - MakeMyTrip - MakeMyTrip ride to airport,travel
ott subscription rental - Rs 150,entertainment
college fee payment,education
Car Service Center,auto
Nykaa - sunscreen spf 50 paid for,personal_care
stationery purchase at College Fee,education
upi payment - Rs 299,finance
concert ticket booking bought because needed,entertainment
renewed subscrption - youtube premium - Rs 1200,subscription
home decor items,home
late night snack from Cafe Coffee Day,food
water bill payment bought because needed,utilities
home decor items bought because needed,home
Godrej Gift - anniversary gift shopping,gifts
anti ageing serum purchase - Rs 999,personal_care
Amazon Prime - Amazon Prime monthly subscription,subscription
Gift Shop - bought flowers from Gift Shop - Rs 50,gifts
Big Bazaar - fruits and veg purchase at Big Bazaar,groceries
Spotify monthly subscription paid for,subscription
new backpack from Myntra bought because needed,shopping
Bikeman Garage,auto
HP Petrolpump - car wash and cleaning - Rs 150,auto
apartment rent monthly,rent
NEFT received,finance
home decor items got it during sale,home
Play Store - Play Store movie ticket,entertainment
BookMyShow movie ticket,entertainment
H&M online - summer dress purchased from nearby store,shopping
pharmacy - antibiotics,health
upi payment - Rs 1200,finance
fruits and veg purchase at Big Bazaar bought because needed,groceries
ordered power bank from Amazon purchased from nearby store,electronics
kitchen utensils from Local Home Store bought because needed,home
bought T,shopping
TataCliq - USB-C cable,electronics
IndiGo ride to airport,travel
Cleartrip - train booking via IRCTC,travel
"Big Bazaar - milk, eggs, vegetables ordered online",groceries
pvr - pvr movie tkt,entertainment
gift box chocolates,gifts
renewed subscription - Spotify bought for home use,subscription
fruits and veg purchase at Local Kirana,groceries
Ikea - kitchen utensils from Ikea - Rs 249,home
Local Mall - sneakers purchase,shopping
mumma grocery - house rent for september bought because needed,rent
MedPlus - paracetamol and vitamins paid for,health
lab test at City Hospital,health
Cleartrip - Cleartrip ride to airport,travel
water bill payment paid for,utilities
anniversary gift shopping,gifts
ordered power bank from Samsung Shop,electronics
monthly groceries from Spencer's,groceries
Udemy - python course got it during sale,education
late night snack from KFC,food
home decor items got it during sale,home
Zara - sneakers purchase purchased from nearby store,shopping
Nykaa - sunscreen spf 50,personal_care
NEFT - bank transfer to friend,finance
bread,groceries
dinner at Cafe Coffee Day with friends,food
invoice paid - Upwork purchased from nearby store,salary
City Hospital - paracetamol and vitamins,health
flight ticket to delhi,travel
Beauty Store - sunscreen spf 50 - Rs 100,personal_care
perfume Beauty Store,personal_care
fruits and veg purchase at Local Kirana bought because needed,groceries
renewed subscription,subscription
bhai petrol bharwaya - loan EMI deduction,bills
City Hospital - paracetamol and vitamins,health
fruits and veg purchase at Local Kirana bought for home use,groceries
dinner at Dominos with friends paid for,food
mumma grocery - Landlord Rent - house rent for september - Rs 999,rent
wallet topup Bank Transfer bought for home use,finance
Amazon Prime - Amazon Prime monthly subscription,subscription
new backpack from Lifestyle,shopping
dinner at Food Stall with friends,food
bus ticket to city paid for,travel
PVR - game purchase on PVR - Rs 100,entertainment
salary credited,salary
Jio - water bill payment,utilities
KFC order - burger and fries - Rs 100,food
"DMart - milk, eggs, vegetables",groceries
stationery purchase at Stationery Shop,education
perfume Local Pharmacy got it during sale,personal_care
Bikeman Garage - car wash and cleaning,auto
exam form fee paid for,education
bike service at HP Petrolpump,auto
DMart - Rs 999,groceries
upi payment,finance
maintenance charges for flat,bills
invoice paid - Upwork - Rs 299,salary
water bill payment,utilities
gave tip to bhaiya - kitchen utensils from Ikea,home
new bedsheet purchase from Home Centre,home
Mi Store,electronics
bread - Rs 150,groceries
ordered power bank from Mi Store ordered online,electronics
Zomato order - burger and fries,food
loan EMI deduction,bills
loan EMI deduction,bills
College Fee - exam form fee,education
bus ticket to city,travel
exam form fee,education
Zomato - dinner at Zomato with friends - Rs 150,food
car wash and cleaning bought for home use,auto
MedPlus - lab test at MedPlus,health
exam form fee,education
gave tip to bhaiya - security deposit for rent,rent
salary credited - ACME Corp got it during sale,salary
stationery purchase at Coursera,education
monthly groceries from Local Kirana,groceries
birthday gift for friend,gifts
renewed subscription - Amazon Prime,subscription
Flipkart - USB-C cable got it during sale,electronics
Shell Fuel - petrol full tank got it during sale,auto
Lifestyle,shopping
anti ageing serum purchase ordered online,personal_care
kitchen utensils from Local Home Store bought because needed,home
pharmacy - Rs 249,health
KFC order - burger and fries,food
IRCTC ride to airport,travel
mobile postpaid bill Electricity Board - Rs 999,utilities
maintenance charges for flat,bills
exam form fee,education
train booking via IRCTC,travel
MakeMyTrip ride to airport,travel
Ikea - floor cleaner and mop ordered online,home
train booking via IRCTC,travel
ACME Corp Salary - freelance payment client xyz,salary
perfume Beauty Store,personal_care
Udemy,education
loan EMI deduction,bills
home decor items,home
Samsung Shop - tempered glass screen protector,electronics
"bread, butter, cereal from Big Bazaar purchased from nearby store - Rs 299",groceries
Ola ride to airport bought because needed,travel
YouTube Premium monthly subscription,subscription
renewed subscription - Spotify bought because needed,subscription
bought flowers from Godrej Gift,gifts
membership renewal Amazon Prime,subscription
engine oil change at HP Petrolpump,auto
wallet topup PhonePe,finance
car wash and cleaning - Rs 249,auto
TataCliq - tempered glass screen protector - Rs 499,electronics
internet recharge via Water Supply - Rs 199,utilities
face wash and moisturizer from Local Pharmacy,personal_care
loan EMI deduction - Rs 150,bills
Play Store movie ticket,entertainment
Spotify annual plan - Rs 499,subscription
anti ageing serum purchase,personal_care
stationery purchase at Stationery Shop paid for,education
late night snack from McDonald's,food
"bread, butter, cereal from Nature's Basket purchased from nearby store",groceries
College Fee - python course,education
pharmacy - antibiotics,health
train booking via IRCTC,travel
TataCliq,electronics
TataCliq purchase,electronics
water bill payment,utilities
mumma grocery - late night snack from McDonald's bought because needed,food
Amazon Prime monthly subscription paid for,subscription
Croma - USB-C cable bought because needed,electronics
house rent for september,rent
Sephora,personal_care
loan EMI deduction,bills
Croma,electronics
apartment rent monthly bought because needed,rent
Amazon Prime - membership renewal Amazon Prime - Rs 199,subscription
bank transfer to friend,finance
game purchase on BookMyShow,entertainment
late night snack from KFC,food
breakfast,food
bought flowers from Flower Store,gifts
gave tip to bhaiya - perfume Beauty Store,personal_care
House Rent - rent payment to landlord,rent
kitchen utensils from Home Centre,home
bought flowers from Flower Store,gifts
bus ticket to city - Rs 100,travel
breakfast,food
bike service at Shell Fuel purchased from nearby store,auto
Freelance Payment - bonus credited - Rs 499,salary
credit card repayment bought for home use,bills
invoice paid - Upwork,salary
Ajio,shopping
car wash and cleaning bought for home use - Rs 249,auto
upi payment bought because needed,finance
recharge jio - HP Petrolpump,auto
Loan EMI - late fee payment,bills
gift box chocolates,gifts
NEFT - upi payment,finance
maintenance charges for flat,bills
Spotify monthly subscription - Rs 999,subscription
pvr - concert tickt booking,entertainment
Croma - tempered glass screen protector,electronics
anti ageing serum purchase got it during sale,personal_care
NEFT received purchased from nearby store,finance
McDonald's - pizza for dinner,food
late night snack from Local Dhabha,food
Myntra - sneakers purchase,shopping
loan EMI deduction,bills
Ajio online,shopping
Beauty Store - sunscreen spf 50 bought for home use,personal_care
bought T-shirt from Zara,shopping
Steam - concert ticket booking,entertainment
game purchase on PVR,entertainment
college fee payment ordered online,education
renewed subscription,subscription
NEFT received bought for home use - Rs 100,finance
College Fee - exam form fee - Rs 499,education
breakfast - paratha and chai,food
Sephora,personal_care
Steam - game purchase on Steam,entertainment
Cleartrip ride to airport,travel
Zara online - summer dress bought for home use,shopping
"Nature's Basket - milk, eggs, vegetables - Rs 100",groceries
Swiggy - pizza for dinner,food
bike service at Bikeman Garage,auto
membership renewal Amazon Prime,subscription
Flipkart - USB-C cable paid for,electronics
bought flowers from Gift Shop paid for,gifts
water bill payment,utilities
Beauty Store - anti ageing serum purchase,personal_care
Swiggy order - burger and fries purchased from nearby store,food
home decor items,home
game purchase on BookMyShow,entertainment
Shell Fuel - car wash and cleaning,auto
Food Stall order,food
Local Home Store - home decor items,home
pharmacy - antibiotics,health
pharmacy - antibiotics,health
Apollo Pharmacy,health
bought T,shopping
bought flowers from Gift Shop,gifts
Landlord Rent - security deposit for rent,rent
Reliance Digital - USB-C cable,electronics
Croma,electronics
internet recharge via Water Supply bought because needed,utilities
game purchase on PVR ordered online,entertainment
bus ticket to city bought for home use,travel
bonus credited ordered online,salary
game purchase on Steam,entertainment
concert ticket booking,entertainment
exam form fee purchased from nearby store,education
dinner at KFC with friends paid for - Rs 1200,food
bank transfer to friend ordered online,finance
bought flowers from Flower Store paid for,gifts
bike service at HP Petrolpump,auto
anti ageing serum purchase purchased from nearby store,personal_care
bus ticket to city,travel
Uber - train booking via IRCTC - Rs 50,travel
mumma grocery - Ola - Ola ride to airport,travel
bus ticket to city,travel
Gift Shop - anniversary gift shopping,gifts
anti ageing serum purchase paid for,personal_care
dinner at McDonald's with friends ordered online,food
Ola ride to airport - Rs 150,travel
stationery purchase at Coursera,education
Freelance Payment - bonus credited,salary
Reliance Digital - USB-C cable bought because needed - Rs 199,electronics
YouTube Premium monthly subscription got it during sale,subscription
Home Centre,home
pharmacy,health
water bill payment purchased from nearby store - Rs 50,utilities
rent payment to landlord,rent
mobile postpaid bill Electricity Board,utilities
Electricity Board - Electricity Board electricity bill - Rs 999,utilities
YouTube Premium annual plan,subscription
Loan EMI - late fee payment,bills
bike service at Car Service Center - Rs 50,auto
face wash and moisturizer from Sephora,personal_care
KFC order,food
IRCTC - bus ticket to city,travel
NEFT received bought because needed,finance
doctor consult - fever purchased from nearby store,health
Reliance Digital purchase - bluetooth headphone got it during sale,electronics
YouTube Premium annual plan,subscription
college fee payment ordered online,education
anniversary gift shopping purchased from nearby store - Rs 249,gifts
bought flowers from Gift Shop,gifts
emi deducted - Cleartrip - train booking via IRCTC,travel
late night snack from Zomato bought for home use,food
Practo,health
exam form fee purchased from nearby store,education
Lifestyle online - summer dress,shopping
Home Centre - new bedsheet purchase from Home Centre,home
Steam - concert ticket booking,entertainment
bread,groceries
bhai petrol bharwaya - BSNL - BSNL electricity bill,utilities
new bedsheet purchase from Local Home Store got it during sale - Rs 999,home
face wash and moisturizer from Beauty Store,personal_care
Ikea - floor cleaner and mop,home
Udemy - python course purchased from nearby store - Rs 249,education
HP Petrolpump - petrol full tank bought because needed,auto
renewed subscription - Rs 150,subscription
bonus credited - Rs 1200,salary
gave tip to bhaiya - maintenance charges for flat,bills
loan EMI deduction bought because needed,bills
apartment rent monthly paid for,rent
bike service at HP Petrolpump,auto
Samsung Shop - USB-C cable,electronics
dinner at Cafe Coffee Day with friends,food
lab test at MedPlus,health
home decor items,home
membership renewal YouTube Premium,subscription
mobile postpaid bill BSNL paid for,utilities
late night snack from Dominos ordered online,food
bus ticket to city - Rs 299,travel
maintenance charges for flat,bills
Nykaa - sunscreen spf 50 bought because needed,personal_care
Electricity Board - Electricity Board electricity bill,utilities
dinner at McDonald's with friends,food
stationery purchase at Coursera,education
flight ticket to delhi,travel
H&M - new backpack from H&M,shopping
dinner at Dominos with friends,food
exam form fee paid for,education
bought flowers from Gift Shop - Rs 199,gifts
loan EMI deduction,bills
TataCliq,electronics
Lifestyle online,shopping
gift box chocolates,gifts
train booking via IRCTC - Rs 499,travel
credit card repayment - Rs 1200,bills
dinner at Pizza Hut with friends - Rs 199,food
home decor items bought for home use - Rs 249,home
bank transfer to friend,finance
doctor consult - fever purchased from nearby store,health
Netflix monthly subscription purchased from nearby store,subscription
home decor items,home
BookMyShow movie ticket ordered online,entertainment
monthly groceries from Big Bazaar paid for,groceries
new backpack from H&M got it during sale,shopping
Reliance Digital,electronics
Bank Transfer - NEFT received,finance
Car Service Center - engine oil change at Car Service Center - Rs 150,auto
kitchen utensils from Ikea got it during sale,home
BSNL - BSNL electricity bill,utilities
loan EMI deduction bought for home use,bills
late fee payment,bills
Amazon,electronics
maintenance charges for flat ordered online - Rs 100,bills
gave tip to bhaiya - membership renewal Netflix - Rs 150,subscription
apartment rent monthly,rent
Local Home Store,home
anti ageing serum purchase,personal_care
game purchase on Steam,entertainment
ordered power bank from Mi Store purchased from nearby store,electronics
water bill payment ordered online - Rs 199,utilities
game purchase on Play Store,entertainment
bonus credited,salary
Amazon Prime monthly subscription,subscription
Flipkart - USB-C cable,electronics
bought T,shopping
train booking via IRCTC,travel
water bill payment,utilities
BookMyShow movie ticket purchased from nearby store,entertainment
flight ticket to delhi bought because needed - Rs 999,travel
Ajio - new backpack from Ajio,shopping
Ola - flight ticket to delhi,travel
